timestamp,machine_id,sensor_id,parameter,value,unit,threshold,alert_triggered,shift,operator_id
2024-07-01 06:00:00,M-101,TMP-101A,temperature,42.3,°C,85.0,False,morning,OP-03
2024-07-01 06:00:00,M-204,PS-204B,pressure,148.2,bar,160.0,False,morning,OP-07
2024-07-01 06:00:00,M-312,TMP-312A,temperature,61.1,°C,70.0,False,morning,OP-12
2024-07-01 06:00:00,M-418,TMP-418E,temperature,72.4,°C,85.0,False,morning,OP-02
2024-07-01 06:00:00,M-522,VIB-522C,vibration,4.2,mm/s,8.0,False,morning,OP-09
2024-07-01 06:00:00,M-633,PWR-633F,power,18.7,kW,25.0,False,morning,OP-05
2024-07-01 06:00:00,M-714,HUM-714D,humidity,44.1,%,60.0,False,morning,OP-11
2024-07-05 14:00:00,M-204,PS-204B,pressure,152.8,bar,160.0,False,afternoon,OP-07
2024-07-08 06:00:00,M-101,TMP-101A,temperature,44.7,°C,85.0,False,morning,OP-03
2024-07-10 22:00:00,M-312,TMP-312A,temperature,63.8,°C,70.0,False,night,OP-15
2024-07-15 14:00:00,M-714,HUM-714D,humidity,51.3,%,60.0,False,afternoon,OP-11
2024-07-18 06:00:00,M-204,PS-204B,pressure,155.4,bar,160.0,False,morning,OP-07
2024-07-20 14:00:00,M-418,TMP-418E,temperature,78.9,°C,85.0,False,afternoon,OP-02
2024-07-22 22:00:00,M-522,VIB-522C,vibration,5.1,mm/s,8.0,False,night,OP-09
2024-07-25 06:00:00,M-633,PWR-633F,power,19.2,kW,25.0,False,morning,OP-05
2024-07-29 10:30:00,M-204,PS-204B,pressure,187.3,bar,160.0,True,morning,OP-07
2024-07-31 09:15:00,M-418,TMP-418E,temperature,91.7,°C,85.0,True,morning,OP-02
2024-08-01 06:00:00,M-101,TMP-101A,temperature,43.1,°C,85.0,False,morning,OP-03
2024-08-03 14:00:00,M-204,PS-204B,pressure,141.2,bar,160.0,False,afternoon,OP-07
2024-08-05 22:00:00,M-312,TMP-312A,temperature,64.9,°C,70.0,False,night,OP-15
2024-08-06 11:20:00,M-312,TMP-312A,temperature,78.4,°C,70.0,True,morning,OP-12
2024-08-08 06:00:00,M-418,TMP-418E,temperature,69.3,°C,85.0,False,morning,OP-02
2024-08-10 14:00:00,M-714,HUM-714D,humidity,55.7,%,60.0,False,afternoon,OP-11
2024-08-12 06:00:00,M-522,VIB-522C,vibration,5.8,mm/s,8.0,False,morning,OP-09
2024-08-14 10:00:00,M-204,PS-204B,pressure,143.7,bar,160.0,False,morning,OP-07
2024-08-19 06:00:00,M-633,PWR-633F,power,17.9,kW,25.0,False,morning,OP-05
2024-08-22 14:00:00,M-204,PS-204B,pressure,151.6,bar,160.0,False,afternoon,OP-07
2024-08-25 22:00:00,M-312,TMP-312A,temperature,62.3,°C,70.0,False,night,OP-15
2024-08-28 06:00:00,M-418,TMP-418E,temperature,73.8,°C,85.0,False,morning,OP-02
2024-09-01 06:00:00,M-101,TMP-101A,temperature,41.9,°C,85.0,False,morning,OP-03
2024-09-01 14:00:00,M-204,PS-204B,pressure,138.4,bar,160.0,False,afternoon,OP-07
2024-09-05 08:45:00,M-522,VIB-522C,vibration,12.1,mm/s,8.0,True,morning,OP-09
2024-09-08 06:00:00,M-633,PWR-633F,power,20.1,kW,25.0,False,morning,OP-05
2024-09-10 22:00:00,M-312,TMP-312A,temperature,60.7,°C,70.0,False,night,OP-15
2024-09-12 14:00:00,M-418,TMP-418E,temperature,70.2,°C,85.0,False,afternoon,OP-02
2024-09-15 06:00:00,M-101,TMP-101A,temperature,44.2,°C,85.0,False,morning,OP-03
2024-09-18 14:00:00,M-204,PS-204B,pressure,145.9,bar,160.0,False,afternoon,OP-07
2024-09-21 09:30:00,M-714,HUM-714D,humidity,84.2,%,60.0,True,morning,OP-11
2024-09-22 06:00:00,M-522,VIB-522C,vibration,6.3,mm/s,8.0,False,morning,OP-09
2024-09-25 22:00:00,M-312,TMP-312A,temperature,61.8,°C,70.0,False,night,OP-15
2024-09-28 06:00:00,M-418,TMP-418E,temperature,71.4,°C,85.0,False,morning,OP-02
2024-09-30 14:00:00,M-633,PWR-633F,power,18.3,kW,25.0,False,afternoon,OP-05
